match1,match2,date
MI,CSK,2020-09-19
DC,KXIP,2020-09-20
SRH,RCB,2020-09-21
RR,CSK,2020-09-22
KKR,MI,2020-09-23
KXIP,RCB,2020-09-24
CSK,DC,2020-09-25
KKR,SRH,2020-09-26
RR,KXIP,2020-09-27
RCB,MI,2020-09-28
DC,SRH,2020-09-29
RR,KKR,2020-09-30
KXIP,MI,2020-10-01
CSK,SRH,2020-10-02
RCB,RR,2020-10-03
DC,KKR,2020-10-03
MI,SRH,2020-10-04
KXIP,CSK,2020-10-04
RCB,DC,2020-10-05
MI,RR,2020-10-06
KKR,CSK,2020-10-07
SRH,KXIP,2020-10-08
RR,DC,2020-10-09
KXIP,KKR,2020-10-10
CSK,RCB,2020-10-10
SRH,RR,2020-10-11
MI,DC,2020-10-11
RCB,KKR,2020-10-12
SRH,CSK,2020-10-13
DC,RR,2020-10-14
RCB,KXIP,2020-10-15
MI,KKR,2020-10-16
RR,RCB,2020-10-17
DC,CSK,2020-10-17
SRH,KKR,2020-10-18
MI,KXIP,2020-10-18
CSK,RR,2020-10-19
KXIP,DC,2020-10-20
KKR,RCB,2020-10-21
RR,SRH,2020-10-22
CSK,MI,2020-10-23
KKR,DC,2020-10-24
KXIP,SRH,2020-10-24
RCB,CSK,2020-10-24
RR,MI,2020-10-25
KKR,KXIP,2020-10-26
SRH,DC,2020-10-27
MI,RCB,2020-10-28
CSK,KKR,2020-10-29
KXIP,RR,2020-10-30
DC,MI,2020-10-31
RCB,SRH,2020-10-31
CSK,KXIP,2020-11-01
KKR,RR,2020-11-01
DC,RCB,2020-11-02
SRH,MI,2020-11-03
QF1,--,null
ELIM,--,null
QF2,--,null
FIN,--,2020-11-10
